Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	Client Demo Site
Institution_ID	ISNI:1234123412341234
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes
Exceptions
Reporting_Period	Begin_Date=2016-01-01; End_Date=2016-03-31
Created	2019-04-25T11:35:16Z
Created_By	Publisher Platform Alpha

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2016	Feb-2016	Mar-2016
Database 1 Bibliographic Database	Gamma	alpha:gam	PPα	alpha:bdb-1	Searches_Automated	27227	5061	9709	12457
Database 1 Bibliographic Database	Gamma	alpha:gam	PPα	alpha:bdb-1	Searches_Federated	32216	7860	10789	13567
Database 1 Bibliographic Database	Gamma	alpha:gam	PPα	alpha:bdb-1	Searches_Regular	9272	1687	3601	3984
Database 1 Bibliographic Database	Gamma	alpha:gam	PPα	alpha:bdb-1	Total_Item_Investigations	1044	74	421	549
Database 2 Aggregated Full Content Database	Gamma	alpha:gam	PPα	alpha:afcdb-2	Searches_Regular	940	290	270	380
Database 2 Aggregated Full Content Database	Gamma	alpha:gam	PPα	alpha:afcdb-2	Total_Item_Investigations	900	300	250	350
Database 2 Aggregated Full Content Database	Gamma	alpha:gam	PPα	alpha:afcdb-2	Total_Item_Requests	830	270	230	330
Database 3 Full Content Database	Gamma	alpha:gam	PPα	alpha:fcdb-3	Searches_Regular	6700	2300	2000	2400
Database 3 Full Content Database	Gamma	alpha:gam	PPα	alpha:fcdb-3	Total_Item_Investigations	5700	2000	1900	1800
Database 3 Full Content Database	Gamma	alpha:gam	PPα	alpha:fcdb-3	Total_Item_Requests	3500	1200	1100	1200
