Report_Name	Multimedia Item Requests
Report_ID	IR_M1
Release	5
Institution_Name	Client Demo Site
Institution_ID	ISNI:1234123412341234
Metric_Types	Total_Item_Requests
Report_Filters	Data_Type=Multimedia; Access_Method=Regular
Report_Attributes
Exceptions
Reporting_Period	Begin_Date=2016-01-01; End_Date=2016-03-31
Created	2019-04-25T11:38:17Z
Created_By	Sample Institutional Repository

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	URI	Metric_Type	Reporting_Period_Total	Jan-2016	Feb-2016	Mar-2016
Item 100030	Publisher 36		Sample IR	10.1729/abcd.434	SampleIR:100030		Total_Item_Requests	8	4	2	2
