Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	Client Demo Site
Institution_ID	ISNI:1234123412341234
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes
Exceptions
Reporting_Period	Begin_Date=2016-01-01; End_Date=2016-03-31
Created	2019-04-25T11:39:56Z
Created_By	Publisher Platform Delta

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2016	Feb-2016	Mar-2016
Journal 10	Publisher 111		PPDelta		ppdelta:10	2042-5813	2042-5872		Controlled	Total_Item_Investigations	42	10	12	20
Journal 10	Publisher 111		PPDelta		ppdelta:10	2042-5813	2042-5872		Controlled	Total_Item_Requests	25	6	9	10
Journal 10	Publisher 111		PPDelta		ppdelta:10	2042-5813	2042-5872		Controlled	Unique_Item_Investigations	29	6	10	13
Journal 10	Publisher 111		PPDelta		ppdelta:10	2042-5813	2042-5872		Controlled	Unique_Item_Requests	22	5	8	9
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		Controlled	Total_Item_Investigations	16	3	7	6
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		Controlled	Total_Item_Requests	15	3	6	6
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		Controlled	Unique_Item_Investigations	16	3	7	6
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		Controlled	Unique_Item_Requests	15	3	6	6
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		OA_Gold	Total_Item_Investigations	15	6	5	4
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		OA_Gold	Total_Item_Requests	8	3	3	2
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		OA_Gold	Unique_Item_Investigations	8	3	3	2
Journal 11	Publisher 111		PPDelta		ppdelta:11	2042-5163	2042-5139		OA_Gold	Unique_Item_Requests	8	3	3	2
