Report_Name	Book Usage by Access Type																									
Report_ID	TR_B3																									
Release	5.1																									
Institution_Name	Sample Institution																									
Institution_ID	ISNI:1234123412341234																									
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests																									
Report_Filters	Data_Type=Book|Reference_Work; Access_Method=Regular																									
Report_Attributes																										
Exceptions																										
Reporting_Period	Begin_Date=2022-01-01; End_Date=2022-12-31																									
Created	2023-02-15T09:11:12Z																									
Created_By	Sample Publisher																									
Registry_Record	https://registry.countermetrics.org/platform/99999999-9999-9999-9999-999999999999																									
																										
Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2022	Feb-2022	Mar-2022	Apr-2022	May-2022	Jun-2022	Jul-2022	Aug-2022	Sep-2022	Oct-2022	Nov-2022	Dec-2022
Title 1	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt01	P1:T01	979-8-88888-888-8			https://doi.org/10.9999/xxxxt01	Book	2022	Controlled	Total_Item_Investigations	16373	1104	1246	1329	1453	1166	1470	1758	1593	1066	1711	1432	1045
Title 1	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt01	P1:T01	979-8-88888-888-8			https://doi.org/10.9999/xxxxt01	Book	2022	Controlled	Total_Item_Requests	9825	662	748	797	872	700	882	1055	956	640	1027	859	627
Title 1	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt01	P1:T01	979-8-88888-888-8			https://doi.org/10.9999/xxxxt01	Book	2022	Controlled	Unique_Item_Investigations	12283	828	935	997	1090	875	1103	1319	1195	800	1283	1074	784
Title 1	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt01	P1:T01	979-8-88888-888-8			https://doi.org/10.9999/xxxxt01	Book	2022	Controlled	Unique_Item_Requests	7369	497	561	598	654	525	662	791	717	480	770	644	470
Title 1	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt01	P1:T01	979-8-88888-888-8			https://doi.org/10.9999/xxxxt01	Book	2022	Controlled	Unique_Title_Investigations	8189	552	623	665	727	583	735	879	797	533	856	716	523
Title 1	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt01	P1:T01	979-8-88888-888-8			https://doi.org/10.9999/xxxxt01	Book	2022	Controlled	Unique_Title_Requests	6141	414	467	499	545	437	551	659	598	400	642	537	392
Title 7	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt07	P1:T07	979-8-88888-888-9			https://doi.org/10.9999/xxxxt07	Reference_Work	2019	Controlled	Total_Item_Investigations	15523	1645	1022	1106	1431	1603	1051	1083	1322	1079	1344	1763	1074
Title 7	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt07	P1:T07	979-8-88888-888-9			https://doi.org/10.9999/xxxxt07	Reference_Work	2019	Controlled	Total_Item_Requests	9314	987	613	664	859	962	631	650	793	647	806	1058	644
Title 7	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt07	P1:T07	979-8-88888-888-9			https://doi.org/10.9999/xxxxt07	Reference_Work	2019	Controlled	Unique_Item_Investigations	11643	1234	767	830	1073	1202	788	812	992	809	1008	1322	806
Title 7	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt07	P1:T07	979-8-88888-888-9			https://doi.org/10.9999/xxxxt07	Reference_Work	2019	Controlled	Unique_Item_Requests	7098	740	460	498	644	722	473	488	595	485	605	794	594
Title 7	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt07	P1:T07	979-8-88888-888-9			https://doi.org/10.9999/xxxxt07	Reference_Work	2019	Controlled	Unique_Title_Investigations	3672	301	283	217	617	482	238	563	198	82	42	166	483
Title 7	Sample Publisher	ISNI:4321432143214321	Platform 1	10.9999/xxxxt07	P1:T07	979-8-88888-888-9			https://doi.org/10.9999/xxxxt07	Reference_Work	2019	Controlled	Unique_Title_Requests	2757	226	212	163	463	362	179	422	149	62	32	125	362
